run_id,ts,trace,model_profile,device,window_accesses,k_deltas,n_train,n_calib,n_test,embargo_dropped,num_leaves,test_positive_rate,features_run,workload,label_mode,sample_rate,data_seed,feature_groups,test_trace,loss,threshold_rule,thr_median,train_seconds,best_iter,ece,auc,rmse_log_tau,average_precision,spearman_positives,spearman_all,calib_split,calib_positive_rate,n,cm_drop_correct,cm_drop_wrong,cm_keep_correct,cm_keep_wrong,precision_drop,recall_drop,drop_rate,err_rate,fn_rate,fp_rate,cost_ms,cost_ms_fn,cost_ms_fp,cost_us_per_decision,lat_k,lat_median_us,lat_p90_us,lat_per_candidate_us,lat_loadavg_1m,lat_n_cpu,lat_k1_median_us,lat_k256_median_us
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,0.5,0.5,3.99,71,0.0003,0.9995,0.5529,0.9992,0.2334,0.9489,tail,0.3607,950894,609070,129,340620,1075,0.9998,0.9982,0.6407,0.0013,0.0001,0.0011,824.23,503.35,320.88,0.867,64,180.6,204.3,2.822,1.5,96,30.8,588.0
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,sym_l2,p_star,0.0674,3.99,71,0.0003,0.9995,0.5529,0.9992,0.2334,0.9489,tail,0.3607,950894,609054,129,340620,1091,0.9998,0.9982,0.6406,0.0013,0.0001,0.0011,829.0,503.35,325.66,0.872,64,180.6,204.3,2.822,1.5,96,30.8,588.0
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,0.5,0.5,4.36,79,0.0004,0.9996,0.552,0.9994,0.2409,0.9343,tail,0.3607,950894,609070,129,340620,1075,0.9998,0.9982,0.6407,0.0013,0.0001,0.0011,824.23,503.35,320.88,0.867,64,193.4,220.8,3.021,2.0,96,32.7,638.6
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,cost_l2,p_star,0.0674,4.36,79,0.0004,0.9996,0.552,0.9994,0.2409,0.9343,tail,0.3607,950894,609054,129,340620,1091,0.9998,0.9982,0.6406,0.0013,0.0001,0.0011,829.0,503.35,325.66,0.872,64,193.4,220.8,3.021,2.0,96,32.7,638.6
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,always_keep,p_star,0.0674,0.0,0,,,,,,,,,950894,0,0,340749,610145,nan,0.0,0.0,0.6417,0.0,0.6417,182123.66,0.0,182123.66,191.529,,,,,,,,
20260905-213110-m5p-train-toolagent-qwen-awq,2026-09-05T21:31:12.729546+08:00,toolagent,qwen-awq,nvme,17117,16,1882897,332276,950894,3579,63,0.3583,20260905-142724-m5p-feat-toolagent-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,toolagent,always_drop,p_star,0.0674,0.0,0,,,,,,,,,950894,610145,340749,0,0,0.6417,1.0,1.0,0.3583,0.3583,0.0,1266626.35,1266626.35,0.0,1332.037,,,,,,,,
20260905-213131-m5p-train-conversation-qwen-awq,2026-09-05T21:31:32.309040+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-142918-m5p-feat-conversation-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,conversation,sym_l2,0.5,0.5,3.96,168,0.0006,0.9988,0.0289,0.9704,0.9994,0.3905,tail,0.0469,678219,647407,78,30482,252,0.9999,0.9996,0.9547,0.0005,0.0001,0.0004,349.78,274.56,75.22,0.516,64,196.9,220.0,3.077,2.0,96,34.4,665.6
20260905-213131-m5p-train-conversation-qwen-awq,2026-09-05T21:31:32.309040+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-142918-m5p-feat-conversation-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,conversation,sym_l2,p_star,0.0582,3.96,168,0.0006,0.9988,0.0289,0.9704,0.9994,0.3905,tail,0.0469,678219,647407,78,30482,252,0.9999,0.9996,0.9547,0.0005,0.0001,0.0004,349.78,274.56,75.22,0.516,64,196.9,220.0,3.077,2.0,96,34.4,665.6
20260905-213131-m5p-train-conversation-qwen-awq,2026-09-05T21:31:32.309040+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-142918-m5p-feat-conversation-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,conversation,cost_l2,0.5,0.5,4.04,161,0.0006,0.9988,0.0293,0.9705,0.9994,0.3946,tail,0.0469,678219,647407,78,30482,252,0.9999,0.9996,0.9547,0.0005,0.0001,0.0004,349.78,274.56,75.22,0.516,64,195.1,217.1,3.048,2.5,96,32.1,663.8
20260905-213131-m5p-train-conversation-qwen-awq,2026-09-05T21:31:32.309040+08:00,conversation,qwen-awq,nvme,17117,16,1341713,236773,678219,4022,63,0.0451,20260905-142918-m5p-feat-conversation-qwen-awq,mooncake,censored,0.25,1234,history+deltas+edc+static,conversation,cost_l2,p_star,0.0582,4.04,161,0.0006,0.9988,0.0293,0.9705,0.9994,0.3946,tail,0.0469,678219,647407,78,30482,252,0.9999,0.9996,0.9547,0.0005,0.0001,0.0004,349.78,274.56,75.22,0.516,64,195.1,217.1,3.048,2.5,96,32.1,663.8
